Data,Obs,x1,x2,x3,x4,z1,z2
Original,1,10,20.7,13.6,15.5,0.291681,-0.6034
Original,2,10.5,19.9,18.1,14.8,0.294281,0.491533
Original,3,9.7,20,16.1,16.5,0.197337,0.640937
Original,4,9.8,20.2,19.1,17.1,0.839022,1.469579
Original,5,11.7,21.5,19.8,18.3,3.204876,0.879172
Original,6,11,20.9,10.3,13.8,0.203271,-2.29514
Original,7,8.7,18.8,16.9,16.8,-0.99211,1.670464
Original,8,9.5,19.3,15.3,12.2,-1.70241,-0.36089
Original,9,10.1,19.4,16.2,15.8,-0.14246,0.560808
Original,10,9.5,19.6,13.6,14.5,-0.99498,-0.31493
Original,11,10.5,20.3,17,16.5,0.944697,0.504711
Original,12,9.2,19,11.5,16.3,-1.2195,-0.09129
Original,13,11.3,21.6,14,18.7,2.608666,-0.42176
Original,14,10,19.8,14,15.9,-0.12378,-0.08767
Original,15,8.5,19.2,17.4,15.8,-1.10423,1.472593
Original,16,9.7,20.1,10,16.6,-0.27825,-0.94763
Original,17,8.3,18.4,12.5,14.2,-2.65608,0.135288
Original,18,11.9,21.8,14.1,16.2,2.36528,-1.30494
Original,19,10.3,20.5,15.6,15.1,0.411311,-0.21893
Original,20,8.9,19,8.5,14.7,-2.14662,-1.17849
New,21,9.9,20,15.4,15.9,0.074196,0.239359
New,22,8.7,19,9.9,16.8,-1.51756,-0.21121
New,23,11.5,21.8,19.3,12.1,1.408476,-0.87591
New,24,15.9,24.6,14.7,15.3,6.298001,-3.67398
New,25,12.6,23.9,17.1,14.2,3.802025,-1.99584
New,26,14.9,25,16.3,16.6,6.490673,-2.73143
New,27,9.9,23.7,11.9,18.1,2.738829,-1.37617
New,28,12.8,26.3,13.5,13.7,4.958747,-3.94851
New,29,13.1,26.1,10.9,16.8,5.678092,-3.85838
New,30,9.8,25.8,14.8,15,3.369657,-2.10878
